время,координата,плотность,сера
0,0,850,0.6
0,100,850,0.6
0,200,850,0.6
0,300,850,0.6
0,400,850,0.6
0,500,850,0.6
0,600,850,0.6
0,700,850,0.6
0,800,850,0.6
0,900,850,0.6
0,1000,850,0.6
0,1100,850,0.6
0,1200,850,0.6
0,1300,850,0.6
0,1400,850,0.6
0,1500,850,0.6
0,1600,850,0.6
0,1700,850,0.6
0,1800,850,0.6
0,1900,850,0.6
0,2000,850,0.6
0,2100,850,0.6
0,2200,850,0.6
0,2300,850,0.6
0,2400,850,0.6
0,2500,850,0.6
0,2600,850,0.6
0,2700,850,0.6
0,2800,850,0.6
0,2900,850,0.6
0,3000,850,0.6
0,3100,850,0.6
0,3200,850,0.6
0,3300,850,0.6
0,3400,850,0.6
0,3500,850,0.6
0,3600,850,0.6
0,3700,850,0.6
0,3800,850,0.6
0,3900,850,0.6
0,4000,850,0.6
0,4100,850,0.6
0,4200,850,0.6
0,4300,850,0.6
0,4400,850,0.6
0,4500,850,0.6
0,4600,850,0.6
0,4700,850,0.6
0,4800,850,0.6
0,4900,850,0.6
0,5000,850,0.6
0,5100,850,0.6
0,5200,850,0.6
0,5300,850,0.6
0,5400,850,0.6
0,5500,850,0.6
0,5600,850,0.6
0,5700,850,0.6
0,5800,850,0.6
0,5900,850,0.6
0,6000,850,0.6
0,6100,850,0.6
0,6200,850,0.6
0,6300,850,0.6
0,6400,850,0.6
0,6500,850,0.6
0,6600,850,0.6
0,6700,850,0.6
0,6800,850,0.6
0,6900,850,0.6
0,7000,850,0.6
0,7100,850,0.6
0,7200,850,0.6
0,7300,850,0.6
0,7400,850,0.6
0,7500,850,0.6
0,7600,850,0.6
0,7700,850,0.6
0,7800,850,0.6
0,7900,850,0.6
0,8000,850,0.6
0,8100,850,0.6
0,8200,850,0.6
0,8300,850,0.6
0,8400,850,0.6
0,8500,850,0.6
0,8600,850,0.6
0,8700,850,0.6
0,8800,850,0.6
0,8900,850,0.6
0,9000,850,0.6
0,9100,850,0.6
0,9200,850,0.6
0,9300,850,0.6
0,9400,850,0.6
0,9500,850,0.6
0,9600,850,0.6
0,9700,850,0.6
0,9800,850,0.6
0,9900,850,0.6
0,10000,850,0.6
66.4761,0,860,0.9
66.4761,100,850,0.6
66.4761,200,850,0.6
66.4761,300,850,0.6
66.4761,400,850,0.6
66.4761,500,850,0.6
66.4761,600,850,0.6
66.4761,700,850,0.6
66.4761,800,850,0.6
66.4761,900,850,0.6
66.4761,1000,850,0.6
66.4761,1100,850,0.6
66.4761,1200,850,0.6
66.4761,1300,850,0.6
66.4761,1400,850,0.6
66.4761,1500,850,0.6
66.4761,1600,850,0.6
66.4761,1700,850,0.6
66.4761,1800,850,0.6
66.4761,1900,850,0.6
66.4761,2000,850,0.6
66.4761,2100,850,0.6
66.4761,2200,850,0.6
66.4761,2300,850,0.6
66.4761,2400,850,0.6
66.4761,2500,850,0.6
66.4761,2600,850,0.6
66.4761,2700,850,0.6
66.4761,2800,850,0.6
66.4761,2900,850,0.6
66.4761,3000,850,0.6
66.4761,3100,850,0.6
66.4761,3200,850,0.6
66.4761,3300,850,0.6
66.4761,3400,850,0.6
66.4761,3500,850,0.6
66.4761,3600,850,0.6
66.4761,3700,850,0.6
66.4761,3800,850,0.6
66.4761,3900,850,0.6
66.4761,4000,850,0.6
66.4761,4100,850,0.6
66.4761,4200,850,0.6
66.4761,4300,850,0.6
66.4761,4400,850,0.6
66.4761,4500,850,0.6
66.4761,4600,850,0.6
66.4761,4700,850,0.6
66.4761,4800,850,0.6
66.4761,4900,850,0.6
66.4761,5000,850,0.6
66.4761,5100,850,0.6
66.4761,5200,850,0.6
66.4761,5300,850,0.6
66.4761,5400,850,0.6
66.4761,5500,850,0.6
66.4761,5600,850,0.6
66.4761,5700,850,0.6
66.4761,5800,850,0.6
66.4761,5900,850,0.6
66.4761,6000,850,0.6
66.4761,6100,850,0.6
66.4761,6200,850,0.6
66.4761,6300,850,0.6
66.4761,6400,850,0.6
66.4761,6500,850,0.6
66.4761,6600,850,0.6
66.4761,6700,850,0.6
66.4761,6800,850,0.6
66.4761,6900,850,0.6
66.4761,7000,850,0.6
66.4761,7100,850,0.6
66.4761,7200,850,0.6
66.4761,7300,850,0.6
66.4761,7400,850,0.6
66.4761,7500,850,0.6
66.4761,7600,850,0.6
66.4761,7700,850,0.6
66.4761,7800,850,0.6
66.4761,7900,850,0.6
66.4761,8000,850,0.6
66.4761,8100,850,0.6
66.4761,8200,850,0.6
66.4761,8300,850,0.6
66.4761,8400,850,0.6
66.4761,8500,850,0.6
66.4761,8600,850,0.6
66.4761,8700,850,0.6
66.4761,8800,850,0.6
66.4761,8900,850,0.6
66.4761,9000,850,0.6
66.4761,9100,850,0.6
66.4761,9200,850,0.6
66.4761,9300,850,0.6
66.4761,9400,850,0.6
66.4761,9500,850,0.6
66.4761,9600,850,0.6
66.4761,9700,850,0.6
66.4761,9800,850,0.6
66.4761,9900,850,0.6
66.4761,10000,850,0.6
132.952,0,860,0.9
132.952,100,856.648,0.799428
132.952,200,850,0.6
132.952,300,850,0.6
132.952,400,850,0.6
132.952,500,850,0.6
132.952,600,850,0.6
132.952,700,850,0.6
132.952,800,850,0.6
132.952,900,850,0.6
132.952,1000,850,0.6
132.952,1100,850,0.6
132.952,1200,850,0.6
132.952,1300,850,0.6
132.952,1400,850,0.6
132.952,1500,850,0.6
132.952,1600,850,0.6
132.952,1700,850,0.6
132.952,1800,850,0.6
132.952,1900,850,0.6
132.952,2000,850,0.6
132.952,2100,850,0.6
132.952,2200,850,0.6
132.952,2300,850,0.6
132.952,2400,850,0.6
132.952,2500,850,0.6
132.952,2600,850,0.6
132.952,2700,850,0.6
132.952,2800,850,0.6
132.952,2900,850,0.6
132.952,3000,850,0.6
132.952,3100,850,0.6
132.952,3200,850,0.6
132.952,3300,850,0.6
132.952,3400,850,0.6
132.952,3500,850,0.6
132.952,3600,850,0.6
132.952,3700,850,0.6
132.952,3800,850,0.6
132.952,3900,850,0.6
132.952,4000,850,0.6
132.952,4100,850,0.6
132.952,4200,850,0.6
132.952,4300,850,0.6
132.952,4400,850,0.6
132.952,4500,850,0.6
132.952,4600,850,0.6
132.952,4700,850,0.6
132.952,4800,850,0.6
132.952,4900,850,0.6
132.952,5000,850,0.6
132.952,5100,850,0.6
132.952,5200,850,0.6
132.952,5300,850,0.6
132.952,5400,850,0.6
132.952,5500,850,0.6
132.952,5600,850,0.6
132.952,5700,850,0.6
132.952,5800,850,0.6
132.952,5900,850,0.6
132.952,6000,850,0.6
132.952,6100,850,0.6
132.952,6200,850,0.6
132.952,6300,850,0.6
132.952,6400,850,0.6
132.952,6500,850,0.6
132.952,6600,850,0.6
132.952,6700,850,0.6
132.952,6800,850,0.6
132.952,6900,850,0.6
132.952,7000,850,0.6
132.952,7100,850,0.6
132.952,7200,850,0.6
132.952,7300,850,0.6
132.952,7400,850,0.6
132.952,7500,850,0.6
132.952,7600,850,0.6
132.952,7700,850,0.6
132.952,7800,850,0.6
132.952,7900,850,0.6
132.952,8000,850,0.6
132.952,8100,850,0.6
132.952,8200,850,0.6
132.952,8300,850,0.6
132.952,8400,850,0.6
132.952,8500,850,0.6
132.952,8600,850,0.6
132.952,8700,850,0.6
132.952,8800,850,0.6
132.952,8900,850,0.6
132.952,9000,850,0.6
132.952,9100,850,0.6
132.952,9200,850,0.6
132.952,9300,850,0.6
132.952,9400,850,0.6
132.952,9500,850,0.6
132.952,9600,850,0.6
132.952,9700,850,0.6
132.952,9800,850,0.6
132.952,9900,850,0.6
132.952,10000,850,0.6
199.428,0,860,0.9
199.428,100,858.876,0.866284
199.428,200,854.419,0.732572
199.428,300,850,0.6
199.428,400,850,0.6
199.428,500,850,0.6
199.428,600,850,0.6
199.428,700,850,0.6
199.428,800,850,0.6
199.428,900,850,0.6
199.428,1000,850,0.6
199.428,1100,850,0.6
199.428,1200,850,0.6
199.428,1300,850,0.6
199.428,1400,850,0.6
199.428,1500,850,0.6
199.428,1600,850,0.6
199.428,1700,850,0.6
199.428,1800,850,0.6
199.428,1900,850,0.6
199.428,2000,850,0.6
199.428,2100,850,0.6
199.428,2200,850,0.6
199.428,2300,850,0.6
199.428,2400,850,0.6
199.428,2500,850,0.6
199.428,2600,850,0.6
199.428,2700,850,0.6
199.428,2800,850,0.6
199.428,2900,850,0.6
199.428,3000,850,0.6
199.428,3100,850,0.6
199.428,3200,850,0.6
199.428,3300,850,0.6
199.428,3400,850,0.6
199.428,3500,850,0.6
199.428,3600,850,0.6
199.428,3700,850,0.6
199.428,3800,850,0.6
199.428,3900,850,0.6
199.428,4000,850,0.6
199.428,4100,850,0.6
199.428,4200,850,0.6
199.428,4300,850,0.6
199.428,4400,850,0.6
199.428,4500,850,0.6
199.428,4600,850,0.6
199.428,4700,850,0.6
199.428,4800,850,0.6
199.428,4900,850,0.6
199.428,5000,850,0.6
199.428,5100,850,0.6
199.428,5200,850,0.6
199.428,5300,850,0.6
199.428,5400,850,0.6
199.428,5500,850,0.6
199.428,5600,850,0.6
199.428,5700,850,0.6
199.428,5800,850,0.6
199.428,5900,850,0.6
199.428,6000,850,0.6
199.428,6100,850,0.6
199.428,6200,850,0.6
199.428,6300,850,0.6
199.428,6400,850,0.6
199.428,6500,850,0.6
199.428,6600,850,0.6
199.428,6700,850,0.6
199.428,6800,850,0.6
199.428,6900,850,0.6
199.428,7000,850,0.6
199.428,7100,850,0.6
199.428,7200,850,0.6
199.428,7300,850,0.6
199.428,7400,850,0.6
199.428,7500,850,0.6
199.428,7600,850,0.6
199.428,7700,850,0.6
199.428,7800,850,0.6
199.428,7900,850,0.6
199.428,8000,850,0.6
199.428,8100,850,0.6
199.428,8200,850,0.6
199.428,8300,850,0.6
199.428,8400,850,0.6
199.428,8500,850,0.6
199.428,8600,850,0.6
199.428,8700,850,0.6
199.428,8800,850,0.6
199.428,8900,850,0.6
199.428,9000,850,0.6
199.428,9100,850,0.6
199.428,9200,850,0.6
199.428,9300,850,0.6
199.428,9400,850,0.6
199.428,9500,850,0.6
199.428,9600,850,0.6
199.428,9700,850,0.6
199.428,9800,850,0.6
199.428,9900,850,0.6
199.428,10000,850,0.6
265.904,0,860,0.9
265.904,100,859.623,0.888697
265.904,200,857.382,0.821459
265.904,300,852.938,0.688129
265.904,400,850,0.6
265.904,500,850,0.6
265.904,600,850,0.6
265.904,700,850,0.6
265.904,800,850,0.6
265.904,900,850,0.6
265.904,1000,850,0.6
265.904,1100,850,0.6
265.904,1200,850,0.6
265.904,1300,850,0.6
265.904,1400,850,0.6
265.904,1500,850,0.6
265.904,1600,850,0.6
265.904,1700,850,0.6
265.904,1800,850,0.6
265.904,1900,850,0.6
265.904,2000,850,0.6
265.904,2100,850,0.6
265.904,2200,850,0.6
265.904,2300,850,0.6
265.904,2400,850,0.6
265.904,2500,850,0.6
265.904,2600,850,0.6
265.904,2700,850,0.6
265.904,2800,850,0.6
265.904,2900,850,0.6
265.904,3000,850,0.6
265.904,3100,850,0.6
265.904,3200,850,0.6
265.904,3300,850,0.6
265.904,3400,850,0.6
265.904,3500,850,0.6
265.904,3600,850,0.6
265.904,3700,850,0.6
265.904,3800,850,0.6
265.904,3900,850,0.6
265.904,4000,850,0.6
265.904,4100,850,0.6
265.904,4200,850,0.6
265.904,4300,850,0.6
265.904,4400,850,0.6
265.904,4500,850,0.6
265.904,4600,850,0.6
265.904,4700,850,0.6
265.904,4800,850,0.6
265.904,4900,850,0.6
265.904,5000,850,0.6
265.904,5100,850,0.6
265.904,5200,850,0.6
265.904,5300,850,0.6
265.904,5400,850,0.6
265.904,5500,850,0.6
265.904,5600,850,0.6
265.904,5700,850,0.6
265.904,5800,850,0.6
265.904,5900,850,0.6
265.904,6000,850,0.6
265.904,6100,850,0.6
265.904,6200,850,0.6
265.904,6300,850,0.6
265.904,6400,850,0.6
265.904,6500,850,0.6
265.904,6600,850,0.6
265.904,6700,850,0.6
265.904,6800,850,0.6
265.904,6900,850,0.6
265.904,7000,850,0.6
265.904,7100,850,0.6
265.904,7200,850,0.6
265.904,7300,850,0.6
265.904,7400,850,0.6
265.904,7500,850,0.6
265.904,7600,850,0.6
265.904,7700,850,0.6
265.904,7800,850,0.6
265.904,7900,850,0.6
265.904,8000,850,0.6
265.904,8100,850,0.6
265.904,8200,850,0.6
265.904,8300,850,0.6
265.904,8400,850,0.6
265.904,8500,850,0.6
265.904,8600,850,0.6
265.904,8700,850,0.6
265.904,8800,850,0.6
265.904,8900,850,0.6
265.904,9000,850,0.6
265.904,9100,850,0.6
265.904,9200,850,0.6
265.904,9300,850,0.6
265.904,9400,850,0.6
265.904,9500,850,0.6
265.904,9600,850,0.6
265.904,9700,850,0.6
265.904,9800,850,0.6
265.904,9900,850,0.6
265.904,10000,850,0.6
